,Temperature_C,pH,Cadmium Total (ug/L),Oil and Grease Total (mg/L),Arsenic Total (ug/L),Fecal Coliform (colonies/100 mL),Lead Total After 1984 (ug/L),Chromium Total (ug/L),Fecal Streptococcus (colonies/100 mL),Phosphorous Filtered as P (mg/L),N02+NO3 (mg/L as N),Nitrogen Kjeldahl Total (mg/L),Zinc Total (ug/L),COD as O2 (mg/L),Copper Total (ug/L),Phosphorous Total as P (mg/L),TSS (mg/L),TDS_mg/L,BOD5 as O2 (mg/L),Station_Name,year,date,NAME10
315,20.6,7.15,<10,480,10,14000,<10,<10,30000,<0.02,0.54,0.78,,10,<10,0.09,22,74,5.3,Cottonwood_Branch_Trib_IM504,2001,2001-05-28,"Dallas--Fort Worth--Arlington, TX"
316,27.0,7.5,<1,<1,2,5100,68,8,9300,0.19,0.61,0.9,280,40,17,0.24,119,64,8.3,Hereford_Rd_II503,1992,1992-08-24,"Dallas--Fort Worth--Arlington, TX"
317,25.0,8.4,<1,<1,2,130000,120,27,180000,0.13,0.5,0.7,230,78,18,0.14,304,48,8.7,Hereford_Rd_II503,1992,1992-09-03,"Dallas--Fort Worth--Arlington, TX"
318,22.5,8.4,<1,6,3,18000,320,66,25000,0.12,0.65,1.9,270,92,20,0.36,112,57,8.5,Hereford_Rd_II503,1992,1992-10-07,"Dallas--Fort Worth--Arlington, TX"
319,25.0,7.6,<1,<1,2,28000,60,16,16000,0.09,0.26,1,110,53,10,0.19,78,60,4.7,Hereford_Rd_II503,1992,1992-10-15,"Dallas--Fort Worth--Arlington, TX"
320,19.0,8.9,2,<1,2,2200,35,4,20000,0.09,0.77,1,160,220,16,0.18,57,92,8.4,Hereford_Rd_II503,1992,1992-11-10,"Dallas--Fort Worth--Arlington, TX"
321,9.0,8.1,<1,<1,2,31000,17,8,8500,0.08,2.7,1.1,80,31,7,0.16,22,57,4.8,Hereford_Rd_II503,1992,1992-12-09,"Dallas--Fort Worth--Arlington, TX"
322,9.0,8.6,<1,1,1,1500,9,11,9000,0.03,0.83,0.6,70,42,4,0.07,37,46,2.7,Hereford_Rd_II503,1993,1993-01-09,"Dallas--Fort Worth--Arlington, TX"
323,24.0,8.1,<1,3,1,10000,15,5,2500,0.17,0.41,0.5,140,32,7,0.26,72,42,4.2,Trib_to_ELM_FK_II502,1992,1992-09-21,"Dallas--Fort Worth--Arlington, TX"
324,21.5,7.7,<1,1,2,4300,29,13,2500,0.23,0.71,1.7,240,67,13,0.47,97,82,8.2,Trib_to_ELM_FK_II502,1992,1992-10-07,"Dallas--Fort Worth--Arlington, TX"
325,18.5,7.9,<1,1,2,14000,18,11,7800,0.23,1.1,0.8,150,61,8,0.33,64,104,6,Trib_to_ELM_FK_II502,1992,1992-10-28,"Dallas--Fort Worth--Arlington, TX"
326,18.0,7.5,<1,<1,<1,1400,7,<1,2400,0.18,0.75,0.3,70,33,4,0.23,15,41,3.8,Trib_to_ELM_FK_II502,1992,1992-11-19,"Dallas--Fort Worth--Arlington, TX"
327,8.5,8.1,<1,<1,<1,1000,13,10,5700,0.2,0.54,0.5,90,35,6,0.33,56,56,4.3,Trib_to_ELM_FK_II502,1992,1992-12-09,"Dallas--Fort Worth--Arlington, TX"
328,10.5,8.2,<1,1,2,870,29,23,5800,0.19,1.2,0.6,170,81,8,0.45,234,111,4,Trib_to_ELM_FK_II502,1993,1993-01-09,"Dallas--Fort Worth--Arlington, TX"
329,13.0,8.3,<1,2,2,2700,13,6,12000,0.27,0.55,0.4,80,<10,6,0.42,64,87,,Trib_to_ELM_FK_II502,1993,1993-01-28,"Dallas--Fort Worth--Arlington, TX"
330,13.0,7.8,<1,2,1,490,17,7,5900,0.05,1.5,1,60,57,6,0.09,25,92,7,South_mesquite_I635__MC801,1993,1993-02-24,"Dallas--Fort Worth--Arlington, TX"
331,14.5,6.8,<1,1,1,1100,29,4,1600,0.02,0.3,0.7,70,51,4,0.09,57,69,5,South_mesquite_I635__MC801,1993,1993-03-19,"Dallas--Fort Worth--Arlington, TX"
332,14.5,8.3,<1,1,<1,2500,30,3,8800,0.08,0.35,1,80,57,6,0.16,52,56,7.8,South_mesquite_I635__MC801,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
333,21.0,7.6,<1,3,<1,90000,35,<1,28000,0.09,0.28,0.9,70,54,8,0.17,46,51,,South_mesquite_I635__MC801,1993,1993-04-29,"Dallas--Fort Worth--Arlington, TX"
334,21.5,8.0,<1,<1,<1,3300,23,4,20000,0.09,0.41,0.8,80,64,5,0.15,26,52,5.2,South_mesquite_I635__MC801,1993,1993-05-23,"Dallas--Fort Worth--Arlington, TX"
335,24.5,8.0,<1,8,1,8700,29,3,3700,0.11,0.39,0.6,60,49,8,0.1,21,50,7,South_mesquite_I635__MC801,1993,1993-06-09,"Dallas--Fort Worth--Arlington, TX"
336,23.0,8.0,<1,2,4,23000,41,8,51000,0.089,0.254,0.6,110,52,10,0.128,84,64,7.5,South_mesquite_I635__MC801,1997,1997-06-22,"Dallas--Fort Worth--Arlington, TX"
337,13.0,7.5,<1,5,<1,76000,15,2,18000,0.037,0.448,0.69,40,31,6,0.068,19,50,3,South_mesquite_I635__MC801,1997,1997-12-02,"Dallas--Fort Worth--Arlington, TX"
338,7.5,7.4,<1,9,<1,3500,15,2,29000,0.044,0.177,0.53,40,20,5,0.081,23,42,4,South_mesquite_I635__MC801,1997,1997-12-07,"Dallas--Fort Worth--Arlington, TX"
339,9.0,7.4,<1,2,1,870,23,3,9500,0.02,0.3,0.66,50,40,7,0.085,41,54,2.1,South_mesquite_I635__MC801,1998,1998-01-11,"Dallas--Fort Worth--Arlington, TX"
340,20.0,7.5,<1,5,<1,18000,17,2,14000,0.054,0.539,1.2,50,50,8,0.135,28,82,11,South_mesquite_I635__MC801,1998,1998-03-30,"Dallas--Fort Worth--Arlington, TX"
341,19.5,7.5,1,5,7,930,33,6,8200,0.044,1.2,2.1,150,94,16,0.26,86,132,5.6,South_mesquite_I635__MC801,1999,1999-01-28,"Dallas--Fort Worth--Arlington, TX"
342,19.0,6.8,<1,19,2,250000,20,4,176667,0.041,0.235,0.96,60,31,6,0.152,36,31,4.2,South_mesquite_I635__MC801,1999,1999-03-08,"Dallas--Fort Worth--Arlington, TX"
343,22.3,7.1,<2,280,19,12000,30,7,7500,0.04,1.68,1.9,260,37,38,0.11,96,62,7.3,South_mesquite_I635__MC801,1999,1999-09-13,"Dallas--Fort Worth--Arlington, TX"
344,20.5,8.42,<2,385,<10,1800,<10,3,6500,0.04,0.4,1.2,70,11.2,7,0.12,46,68,4.3,South_mesquite_I635__MC801,2000,2000-04-11,"Dallas--Fort Worth--Arlington, TX"
345,6.5,5.5,<2,72,<40,300,20,12,3200,0.02,0.37,<0.3,140,32,22,0.36,239,64,5.6,South_mesquite_I635__MC801,2001,2001-01-10,"Dallas--Fort Worth--Arlington, TX"
346,9.0,8.3,<2,2,<10,340,23,8,1900,<0.02,0.31,<0.2,98,32,12,0.23,109,85,7.1,South_mesquite_I635__MC801,2001,2001-01-16,"Dallas--Fort Worth--Arlington, TX"
347,13.5,8.05,<2,394,<20,6800,6,<2,2800,<0.02,0.45,1.2,45,56,6,0.19,71,101,5.7,South_mesquite_I635__MC801,2001,2001-03-08,"Dallas--Fort Worth--Arlington, TX"
348,16.0,7.45,<2,559,<20,800,2,<2,6800,0.05,0.45,1.6,2,32,<2,0.02,44,92,7.3,South_mesquite_I635__MC801,2001,2001-03-24,"Dallas--Fort Worth--Arlington, TX"
349,13.0,8.3,<1,1,11,3000,10,3,33000,0.2,1.2,2,30,75,10,0.3,97,142,7.5,South_Mesquite_South_Parkway_MC802,1993,1993-03-11,"Dallas--Fort Worth--Arlington, TX"
350,18.0,7.7,<1,<1,32,110000,11,4,96000,0.33,1.6,7.8,80,90,12,0.81,100,159,7.3,South_Mesquite_South_Parkway_MC802,1993,1993-03-28,"Dallas--Fort Worth--Arlington, TX"
351,14.0,7.4,<1,<1,14,80000,12,<10,170000,0.28,1.7,3.6,70,70,8,0.63,139,135,7,South_Mesquite_South_Parkway_MC802,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
352,23.0,8.2,1,5,22,22000,43,15,30000,0.3,1,1.6,230,160,25,0.39,608,92,7.6,South_Mesquite_South_Parkway_MC802,1993,1993-05-18,"Dallas--Fort Worth--Arlington, TX"
353,21.5,7.9,<1,<1,20,31000,19,8,82000,0.35,1.1,3.6,110,120,12,0.73,155,75,3.8,South_Mesquite_South_Parkway_MC802,1993,1993-05-23,"Dallas--Fort Worth--Arlington, TX"
354,26.0,8.0,<1,4,35,160000,12,6,210000,0.37,1.1,1.4,100,72,12,0.39,99,65,7.4,South_Mesquite_South_Parkway_MC802,1993,1993-06-09,"Dallas--Fort Worth--Arlington, TX"
355,25.5,7.8,<1,2,24,270000,7,4,490000,0.44,0.92,2.1,60,53,12,0.61,51,98,7.8,South_Mesquite_South_Parkway_MC802,1993,1993-06-25,"Dallas--Fort Worth--Arlington, TX"
356,12.0,6.7,<1,<1,6,4200,5,6,71000,0.35,1.2,1,30,35,5,0.45,35,69,5.2,South_Mesquite_Bruton_Road__MC803,1993,1993-02-24,"Dallas--Fort Worth--Arlington, TX"
357,14.5,7.0,<1,1,6,20000,4,3,26000,0.25,0.62,1.2,40,45,5,0.32,39,64,5.6,South_Mesquite_Bruton_Road__MC803,1993,1993-03-19,"Dallas--Fort Worth--Arlington, TX"
358,17.0,6.4,<1,1,9,53000,9,4,160000,0.26,0.48,2.2,60,69,6,0.41,78,46,8,South_Mesquite_Bruton_Road__MC803,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
359,19.5,7.6,<1,<1,45,56000,6,<10,290000,0.65,0.76,2.4,30,93,5,0.73,70,56,7,South_Mesquite_Bruton_Road__MC803,1993,1993-04-14,"Dallas--Fort Worth--Arlington, TX"
360,18.0,8.0,<1,<1,11,230000,7,<1,180000,0.46,0.79,2.3,40,35,5,0.58,59,55,,South_Mesquite_Bruton_Road__MC803,1993,1993-04-29,"Dallas--Fort Worth--Arlington, TX"
361,23.0,7.4,<1,<1,10,28000,4,1,74000,0.47,1,1.8,30,32,2,0.57,39,49,3.4,South_Mesquite_Bruton_Road__MC803,1993,1993-05-23,"Dallas--Fort Worth--Arlington, TX"
362,8.0,8.9,<1,7,1,2600,11,5,18000,0.1,0.32,0.6,60,120,7,0.21,44,36,7.5,Rowlett_Cr_PR701,1992,1992-12-09,"Dallas--Fort Worth--Arlington, TX"
363,9.5,8.3,<1,2,3,5200,25,13,57000,0.08,0.42,0.8,120,79,9,0.2,130,40,4.8,Rowlett_Cr_PR701,1993,1993-01-09,"Dallas--Fort Worth--Arlington, TX"
364,11.5,7.4,1,5,3,1000,23,7,18000,0.09,0.34,0.9,140,71,13,0.23,44,55,,Rowlett_Cr_PR701,1993,1993-01-28,"Dallas--Fort Worth--Arlington, TX"
365,14.5,7.7,<1,4,3,250,9,3,2600,0.09,0.52,0.9,50,37,6,0.17,38,44,4.1,Rowlett_Cr_PR701,1993,1993-02-10,"Dallas--Fort Worth--Arlington, TX"
366,13.5,8.0,<1,,3,2700,18,4,4800,0.14,0.44,1,110,150,8,0.23,108,55,7.3,Rowlett_Cr_PR701,1993,1993-03-19,"Dallas--Fort Worth--Arlington, TX"
367,13.0,7.4,<1,1,2,8000,26,5,12000,0.18,0.4,1.3,110,70,10,0.31,124,41,5,Rowlett_Cr_PR701,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
368,13.5,8.0,<1,12,3,41000,13,10,100000,0.21,0.46,1.1,60,90,7,0.27,53,65,7.6,Rowlett_Cr_PR701,1993,1993-04-14,"Dallas--Fort Worth--Arlington, TX"
369,20.0,7.8,<1,1,2,14000,8,6,19000,0.031,0.893,0.87,20,<10,13,0.216,254,98,3.1,Beck_Brach_PU704,1998,1998-12-03,"Dallas--Fort Worth--Arlington, TX"
370,15.0,7.3,<1,<1,<1,800,4,8,19000,1.11,1.09,0.83,20,<10,4,0.191,163,139,2,Beck_Brach_PU704,1998,1998-12-18,"Dallas--Fort Worth--Arlington, TX"
371,18.0,8.2,<1,<1,6,17000,35,40,88000,0.035,0.491,4,140,26,27,1.35,2180,87,3.9,Beck_Brach_PU704,1999,1999-01-28,"Dallas--Fort Worth--Arlington, TX"
372,15.5,7.4,<0.5,<1,<3,390000,4,9.5,90769,<0.03,0.44,0.51,39,11,7,0.51,184,214,4.7,Beck_Brach_PU704,1999,1999-04-03,"Dallas--Fort Worth--Arlington, TX"
373,19.0,7.5,<0.5,276,<3,3400,4,15.1,226666,0.16,1.11,3.4,43,83,12.8,0.52,217,174,9.1,Beck_Brach_PU704,1999,1999-04-14,"Dallas--Fort Worth--Arlington, TX"
374,15.4,8.66,2,112,<10,1700,12,16,1800,0.08,0.38,1.4,60,<2,<2,0.32,332,46,4.5,Beck_Brach_PU704,1999,1999-12-09,"Dallas--Fort Worth--Arlington, TX"
375,16.5,7.1,<1,299,<5,200,<5,4,1600,0.13,0.9,0.43,107,3.7,5,0.39,12,286,5.5,Beck_Brach_PU704,2000,2000-01-07,"Dallas--Fort Worth--Arlington, TX"
376,15.0,7.4,<2,<1,<10,2000,12,14,32000,0.43,0.63,0.6,135,5.6,10,0.4,386,90,3.5,Beck_Brach_PU704,2000,2000-02-22,"Dallas--Fort Worth--Arlington, TX"
377,18.5,7.1,<2,491,<10,5500,<10,6,24000,0.08,0.4,1.1,50,<1,4,0.15,118,72,3.7,Beck_Brach_PU704,2000,2000-04-11,"Dallas--Fort Worth--Arlington, TX"
378,21.7,8.2,<2,47,<10,2600,4,5,52000,0.09,0.33,0.4,45,5,8,0.25,113,<5,4.6,Beck_Brach_PU704,2000,2000-05-19,"Dallas--Fort Worth--Arlington, TX"
379,25.0,7.7,<2,11,<10,60000,7,5,82000,0.08,0.66,0.8,50,20.6,6,0.1,99,150,6.7,Beck_Brach_PU704,2000,2000-06-14,"Dallas--Fort Worth--Arlington, TX"
380,12.5,7.6,<2,11,<20,700,<10,2,19000,<0.02,0.72,1.1,60,8,4,0.05,51,134,,Beck_Brach_PU704,2000,2000-11-12,"Dallas--Fort Worth--Arlington, TX"
381,14.0,6.3,<2,122,<40,150,<10,5,420,0.02,0.67,<0.3,40,10,8,<0.02,<5,290,<2,Beck_Brach_PU704,2001,2001-01-10,"Dallas--Fort Worth--Arlington, TX"
382,9.5,8.2,<2,<1,<10,250,<4,<2,2800,<0.02,0.63,<0.2,21,15,3,<0.02,<5,228,<2,Beck_Brach_PU704,2001,2001-01-16,"Dallas--Fort Worth--Arlington, TX"
383,15.0,7.32,<2,10,<10,50,<4,<2,300,<0.02,0.58,<0.2,,1,<4,<0.02,12,232,<2,Beck_Brach_PU704,2001,2001-01-27,"Dallas--Fort Worth--Arlington, TX"
384,15.5,8.1,<2,116,<10,370,<10,6,6000,<0.02,2.17,<0.2,36,4,7,0.27,96,225,6.9,Beck_Brach_PU704,2001,2001-02-09,"Dallas--Fort Worth--Arlington, TX"
385,14.1,7.02,<2,432,<20,430,<4,<2,2800,<0.02,0.59,0.8,5,5,2,<0.02,<5,290,2.3,Beck_Brach_PU704,2001,2001-03-08,"Dallas--Fort Worth--Arlington, TX"
386,13.0,8.5,<2,369,<20,200,<4,<2,34000,0.06,0.35,1.5,22,21,<4,0.13,102,113,4.2,Beck_Brach_PU704,2001,2001-03-24,"Dallas--Fort Worth--Arlington, TX"
387,17.0,8.65,<2,217,<80,9700,<4,<4,34000,0.08,0.38,0.67,16,25,<10,0.27,32,94,6.4,Beck_Brach_PU704,2001,2001-04-11,"Dallas--Fort Worth--Arlington, TX"
388,8.0,8.5,<1,<1,2,200,11,6,2200,0.03,0.34,0.3,80,27,8,0.07,22,23,3.7,Spring_Creek_PC702,1992,1992-12-09,"Dallas--Fort Worth--Arlington, TX"
389,11.0,6.3,<1,4,1,200,15,5,1700,0.05,0.57,0.6,110,59,12,0.11,69,249,,Spring_Creek_PC702,1993,1993-01-28,"Dallas--Fort Worth--Arlington, TX"
390,14.0,7.3,<1,<1,<1,970,6,2,5700,0.04,0.41,0.8,50,40,6,0.1,30,44,2.8,Spring_Creek_PC702,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
391,13.5,7.6,<1,8,2,7000,10,<10,1400,0.06,0.36,0.7,70,39,9,0.11,42,50,4.9,Spring_Creek_PC702,1993,1993-04-14,"Dallas--Fort Worth--Arlington, TX"
392,21.0,7.6,<1,1,<1,47000,20,<1,9600,0.05,0.52,0.7,70,26,9,0.13,25,41,,Spring_Creek_PC702,1993,1993-04-28,"Dallas--Fort Worth--Arlington, TX"
393,13.0,7.6,<1,5,1,17000,8,2,22000,0.043,0.435,0.51,60,33,8,0.103,33,39,6.3,Spring_Creek_PC702,1997,1997-12-02,"Dallas--Fort Worth--Arlington, TX"
394,7.0,7.4,<1,2,<1,1200,4,2,3500,0.067,0.189,0.6,50,13,6,0.097,19,33,3.1,Spring_Creek_PC702,1997,1997-12-07,"Dallas--Fort Worth--Arlington, TX"
395,10.5,8.3,<1,2,<1,470,8,2,3000,0.005,0.352,0.43,60,18,7,0.086,50,35,2.8,Spring_Creek_PC702,1998,1998-02-21,"Dallas--Fort Worth--Arlington, TX"
396,19.0,7.4,<1,2,<1,4100,17,4,11000,0.089,0.546,1.2,100,46,13,0.209,42,49,12,Spring_Creek_PC702,1998,1998-03-30,"Dallas--Fort Worth--Arlington, TX"
397,18.4,7.6,<1,3,<1,4500,10,3,16000,0.037,0.417,0.91,100,30,11,0.146,40,32,5.6,Spring_Creek_PC702,1998,1998-04-26,"Dallas--Fort Worth--Arlington, TX"
398,22.4,7.4,<1,7,2,33000,19,2,72000,0.066,0.319,0.41,140,<10,14,0.1,55,101,,Spring_Creek_PC702,1998,1998-10-05,"Dallas--Fort Worth--Arlington, TX"
399,14.5,6.8,<1,6,1,7000,13,3,24000,0.072,0.408,0.69,80,20,14,0.167,60,32,4,Spring_Creek_PC702,1999,1999-03-08,"Dallas--Fort Worth--Arlington, TX"
400,19.8,7.8,<1,20,<5,20000,<2,2,24000,0.11,0.59,1.2,50,6.5,19,0.18,66,36,8.4,Spring_Creek_PC702,1999,1999-11-22,"Dallas--Fort Worth--Arlington, TX"
401,19.0,7.8,<2,451,<10,30000,10,8,2500,0.09,0.5,1.6,180,11.2,230,0.28,142,44,8.8,Spring_Creek_PC702,2000,2000-04-11,"Dallas--Fort Worth--Arlington, TX"
402,22.0,7.6,<2,222,<10,33,<4,4,710,0.05,0.18,0.7,36,11,6,0.09,32,36,2.5,Spring_Creek_PC702,2000,2000-10-29,"Dallas--Fort Worth--Arlington, TX"
403,12.5,7.5,<2,13,<20,3000,<10,3,3100,<0.02,0.36,0.55,50,10,10,0.05,35,14,,Spring_Creek_PC702,2000,2000-11-12,"Dallas--Fort Worth--Arlington, TX"
404,20.0,7.9,<2,43,<20,720,<10,2,24000,0.07,0.66,1.3,108,48,16,0.25,58,61,6.3,Spring_Creek_PC702,2001,2001-05-04,"Dallas--Fort Worth--Arlington, TX"
405,10.0,8.0,3,1,3,5800,160,26,150000,0.15,0.86,1.3,340,150,700,0.7,380,163,7.5,Spring_Creek_PI703,1993,1993-01-09,"Dallas--Fort Worth--Arlington, TX"
406,10.0,8.4,3,4,6,35000,170,28,38000,0.12,0.73,1.3,390,180,1100,0.71,844,164,,Spring_Creek_PI703,1993,1993-01-28,"Dallas--Fort Worth--Arlington, TX"
407,12.0,7.4,2,21,4,4000,81,20,7600,0.45,1.1,1.5,200,120,460,0.92,282,117,8.6,Spring_Creek_PI703,1993,1993-02-24,"Dallas--Fort Worth--Arlington, TX"
408,13.0,8.0,1,4,6,22000,100,12,11000,0.3,0.74,0.7,230,120,1200,0.38,507,134,8.2,Spring_Creek_PI703,1993,1993-03-19,"Dallas--Fort Worth--Arlington, TX"
409,13.0,6.6,2,19,5,12000,180,20,14000,0.09,0.67,1.2,340,170,1300,0.79,979,80,6.8,Spring_Creek_PI703,1993,1993-04-03,"Dallas--Fort Worth--Arlington, TX"
410,13.5,7.6,1,3,3,4700,78,10,17000,0.23,0.66,0.8,180,83,350,0.38,607,94,7.2,Spring_Creek_PI703,1993,1993-04-14,"Dallas--Fort Worth--Arlington, TX"
411,23.0,8.2,2,120,7,23000,160,12,2500,0.3,0.53,0.8,390,89,11,0.32,805,89,8,Spring_Creek_PI703,1993,1993-06-09,"Dallas--Fort Worth--Arlington, TX"
412,8.0,7.7,0.5,3,4,4000,8,6,19000,0.03,0.79,0.7,70,44,8,0.04,81,174,5.8,Deer_Creek_TH904,1997,1997-02-06,"Dallas--Fort Worth--Arlington, TX"
413,10.0,7.2,0.5,4,3,120,11,4,27000,0.01,0.68,0.5,60,23,5,0.04,142,104,2.8,Deer_Creek_TH904,1997,1997-02-12,"Dallas--Fort Worth--Arlington, TX"
414,18.0,8.2,0.5,2,2,580,10,4,19000,0.02,0.44,0.8,60,33,8,0.06,130,163,4.3,Deer_Creek_TH904,1997,1997-03-12,"Dallas--Fort Worth--Arlington, TX"
415,17.0,7.9,0.5,3,2,2600,9,2,27000,0.14,0.48,1.8,40,44,6,0.33,57,177,4.6,Deer_Creek_TH904,1997,1997-03-25,"Dallas--Fort Worth--Arlington, TX"
416,19.0,7.3,0.5,2,0.5,3300,8,2,7900,0.018,0.545,0.65,30,37,5,0.063,238,270,5.3,Deer_Creek_TH904,1997,1997-04-03,"Dallas--Fort Worth--Arlington, TX"
417,11.0,8.2,0.5,3,3,730,13,6,6900,0.056,1.02,1.7,90,5,11,0.169,88,172,8.2,Deer_Creek_TH904,1998,1998-12-18,"Dallas--Fort Worth--Arlington, TX"
418,16.0,7.4,0.25,5,1.5,9667,8,5,73000,0.015,0.72,6,66,70,9,0.75,78,178,8.3,Deer_Creek_TH904,1999,1999-03-18,"Dallas--Fort Worth--Arlington, TX"
419,23.7,7.7,1,72,2.5,400,10,0.5,30,0.05,1.98,2,50,47,7,0.11,62,278,7.4,Deer_Creek_TH904,1999,1999-09-13,"Dallas--Fort Worth--Arlington, TX"
420,21.5,7.9,2,97,5,460,25,21,950,0.04,0.5,1.53,133,43,14,0.39,614,45,5.1,Deer_Creek_TH904,2000,2000-10-29,"Dallas--Fort Worth--Arlington, TX"
421,12.3,8.07,1,157,10,33,9,1,100,0.07,0.61,0.1,104,61,7,0.39,120,210,5.2,Deer_Creek_TH904,2001,2001-03-08,"Dallas--Fort Worth--Arlington, TX"
